DATATIME,WINDSPEED,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,WINDPOWER
2021/10/2 9:30:00.000,5,219,8.7,73,822,7400.857273
2021/10/2 9:45:00.000,5.2,218,9.2,72,822,8387.761818
2021/10/2 10:00:00.000,5.4,217,9.6,71,822,9373.730909
2021/10/2 10:15:00.000,5.5,215,10,69,822,10586.08
2021/10/2 10:30:00.000,5.8,214,10.4,68,822,12024.80909
2021/10/2 10:45:00.000,6.1,213,10.7,67,822,13463.53818
2021/10/2 11:00:00.000,6.3,211,11.1,66,822,14902.26727
2021/10/2 11:15:00.000,6.5,211,11.3,66,822,16193.19455
2021/10/2 11:30:00.000,6.7,210,11.3,67,822,17337.25545
2021/10/2 11:45:00.000,6.7,208,11.3,68,821,18481.31636
2021/10/2 12:00:00.000,6.9,208,11.3,69,821,19625.37727
2021/10/2 12:15:00.000,6.9,207,11.4,69,821,20436.41636
2021/10/2 12:30:00.000,6.8,205,11.6,69,821,20915.36909
2021/10/2 12:45:00.000,6.9,204,11.9,68,821,21395.25727
2021/10/2 13:00:00.000,6.8,202,12.1,68,821,21874.21
2021/10/2 13:15:00.000,6.9,201,12.3,68,821,22663.73364
2021/10/2 13:30:00.000,7.2,200,12.6,68,821,23762.89273
2021/10/2 13:45:00.000,7.3,199,12.8,67,820,24862.98727
2021/10/2 14:00:00.000,7.6,198,13.1,67,820,25962.14636
2021/10/2 14:15:00.000,7.8,198,13.1,68,820,27109.01364
2021/10/2 14:30:00.000,7.9,198,13,69,820,28302.65364
2021/10/2 14:45:00.000,8,199,12.9,70,820,29495.35818
2021/10/2 15:00:00.000,8.2,199,12.8,71,820,30688.99818
2021/10/2 15:15:00.000,8.2,199,12.5,73,820,31408.36273
2021/10/2 15:30:00.000,7.9,199,12.1,76,820,31653.45182
2021/10/2 15:45:00.000,7.7,199,11.7,80,819,31898.54091
2021/10/2 16:00:00.000,7.5,199,11.3,83,819,32143.63
2021/10/2 16:15:00.000,7.3,197,11,86,819,32494.42545
2021/10/2 16:30:00.000,7.2,197,10.7,88,819,32950.92727
2021/10/2 16:45:00.000,7.1,196,10.4,90,820,33407.42909
2021/10/2 17:00:00.000,6.9,195,10.1,92,820,33863.93091
2021/10/2 17:15:00.000,6.9,194,9.9,94,820,34266.17636
2021/10/2 17:30:00.000,6.9,195,9.7,95,820,34615.10091
2021/10/2 17:45:00.000,7.1,196,9.5,96,820,34964.02545
2021/10/2 18:00:00.000,7.1,196,9.3,97,820,36735.58333
2021/10/2 18:15:00.000,7.1,197,9.2,98,820,37289.5803
2021/10/2 18:30:00.000,7.3,198,9.2,98,820,38039.50303
2021/10/2 18:45:00.000,7.3,199,9.3,98,820,38788.46061
2021/10/2 19:00:00.000,7.5,200,9.3,98,820,39538.38333
2021/10/2 19:15:00.000,7.5,202,9.3,98,820,40205.30303
2021/10/2 19:30:00.000,7.6,204,9.4,98,820,40790.18485
2021/10/2 19:45:00.000,7.6,206,9.5,97,820,41375.06667
2021/10/2 20:00:00.000,7.6,208,9.6,97,820,41959.94848
2021/10/2 20:15:00.000,7.6,209,9.6,97,820,42547.72576
2021/10/2 20:30:00.000,7.5,210,9.6,97,820,43138.39848
2021/10/2 20:45:00.000,7.4,211,9.6,98,820,43730.03636
2021/10/2 21:00:00.000,7.4,211,9.6,98,820,44320.70909
2021/10/2 21:15:00.000,7.4,210,9.6,98,820,45197.06667
2021/10/2 21:30:00.000,7.6,208,9.7,98,820,45804.0937
2021/10/2 21:45:00.000,7.8,206,9.7,98,820,45611.36358
2021/10/2 22:00:00.000,8,204,9.8,98,820,45673.26721
2021/10/2 22:15:00.000,8.1,204,9.8,98,820,45742.96811
2021/10/2 22:30:00.000,8.1,206,9.8,98,820,45647.66895
2021/10/2 22:45:00.000,8.2,207,9.7,99,820,45796.04622
2021/10/2 23:00:00.000,8.2,208,9.7,99,820,45944.49035
2021/10/2 23:15:00.000,8.3,210,9.8,99,820,45910.9087
2021/10/2 23:30:00.000,8.2,211,9.9,99,820,45618.43804
2021/10/2 23:45:00.000,8.3,212,10,99,820,45649.00192
2021/10/3 0:00:00.000,9.2,220,10.7,99,820,45985.47909
2021/10/3 0:15:00.000,9,221,10.7,99,820,45683.91553
2021/10/3 0:30:00.000,8.8,222,10.7,99,820,45720.74904
2021/10/3 0:45:00.000,8.6,224,10.8,99,820,45968.21718
2021/10/3 1:00:00.000,8.4,225,10.8,99,820,45660.91733
2021/10/3 1:15:00.000,8.3,227,10.8,99,820,43759.95606
2021/10/3 1:30:00.000,8.2,230,10.8,99,820,41841.23485
2021/10/3 1:45:00.000,8.1,232,10.7,99,820,39922.51364
2021/10/3 2:00:00.000,8.1,235,10.7,99,820,38003.79242
2021/10/3 2:15:00.000,8,238,10.7,99,820,36425.7697
2021/10/3 2:30:00.000,8,241,10.7,98,820,35188.44545
2021/10/3 2:45:00.000,8,243,10.7,98,820,33952.08636
2021/10/3 3:00:00.000,8,246,10.7,97,820,32714.76212
2021/10/3 3:15:00.000,7.9,249,10.6,97,820,31435.93636
2021/10/3 3:30:00.000,7.8,252,10.5,96,820,30115.60909
2021/10/3 3:45:00.000,7.7,255,10.3,96,820,28795.28182
2021/10/3 4:00:00.000,7.6,258,10.2,95,820,27474.95455
2021/10/3 4:15:00.000,7.5,261,10,95,820,26231.83939
2021/10/3 4:30:00.000,7.3,265,9.7,95,820,25065.93636
2021/10/3 4:45:00.000,7.2,268,9.5,96,820,23900.03333
2021/10/3 5:00:00.000,7.1,272,9.2,96,820,22734.1303
2021/10/3 5:15:00.000,7,275,9,96,820,21771.87424
2021/10/3 5:30:00.000,7,277,8.9,96,820,21013.26515
2021/10/3 5:45:00.000,7,280,8.8,95,821,20255.62121
2021/10/3 6:00:00.000,7,282,8.7,95,821,19497.01212
2021/10/3 6:15:00.000,7.1,286,8.6,94,821,18905.37424
2021/10/3 6:30:00.000,7.1,288,8.7,93,821,18481.67273
2021/10/3 6:45:00.000,7.2,290,8.8,92,821,18057.97121
2021/10/3 7:00:00.000,7.2,293,8.9,91,821,17634.2697
2021/10/3 7:15:00.000,7,293,9.1,89,821,17014.64242
2021/10/3 7:30:00.000,6.6,290,9.5,86,821,16200.05455
2021/10/3 7:45:00.000,6.3,288,9.8,83,822,15386.43182
2021/10/3 8:00:00.000,5.9,286,10.2,80,822,14571.84394
2021/10/3 8:15:00.000,5.7,283,10.6,77,822,13805.51364
2021/10/3 8:30:00.000,5.5,283,11,73,822,13087.44091
2021/10/3 8:45:00.000,5.4,282,11.5,69,822,12369.36818
2021/10/3 9:00:00.000,5.3,281,11.9,65,822,11325.89091
2021/10/3 9:15:00.000,5.3,282,12.3,61,822,11155.78667
2021/10/3 9:30:00.000,5.5,287,12.6,56,822,11522.60364
2021/10/3 9:45:00.000,5.9,291,13,52,823,11890.37091
2021/10/3 10:00:00.000,6.2,295,13.3,47,823,12257.18788
2021/10/3 10:15:00.000,6.4,297,13.6,44,823,12425.39152
2021/10/3 10:30:00.000,6.5,299,13.7,42,823,12394.98182
2021/10/3 10:45:00.000,6.7,302,13.9,39,823,12363.62182
2021/10/3 11:00:00.000,6.9,304,14,37,823,12333.21212
2021/10/3 11:15:00.000,6.9,304,14.2,36,823,11929.33333
2021/10/3 11:30:00.000,6.8,304,14.4,35,823,11151.03515
2021/10/3 11:45:00.000,6.6,304,14.6,34,823,10373.68727
2021/10/3 12:00:00.000,6.5,304,14.8,33,823,9595.389091
2021/10/3 12:15:00.000,6.2,302,15,32,823,8225.052121
2021/10/3 12:30:00.000,5.6,300,15.2,32,823,6260.775758
2021/10/3 12:45:00.000,5.1,297,15.4,32,823,4297.449697
2021/10/3 13:00:00.000,4.6,293,15.6,32,823,2333.173333
2021/10/3 13:15:00.000,4.2,291,15.7,32,823,864.9551515
2021/10/3 13:30:00.000,3.9,294,15.6,32,823,164.8610276
2021/10/3 13:45:00.000,3.8,295,15.6,33,824,62.17363361
2021/10/3 14:00:00.000,3.5,299,15.5,33,824,282.3790347
2021/10/3 14:15:00.000,3.5,301,15.5,33,824,290.3613309
2021/10/3 14:30:00.000,3.7,304,15.4,33,824,48.22040639
2021/10/3 14:45:00.000,3.9,308,15.3,34,824,211.8135892
2021/10/3 15:00:00.000,4.2,310,15.2,34,824,170.255075
2021/10/3 15:15:00.000,4.3,311,15,34,824,218.6184552
2021/10/3 15:30:00.000,4.2,310,14.8,35,824,106.6227966
2021/10/3 15:45:00.000,4,310,14.6,36,824,39.33311008
2021/10/3 16:00:00.000,4,309,14.4,37,824,211.1702978
2021/10/3 16:15:00.000,4,310,14,38,824,292.4113721
2021/10/3 16:30:00.000,4.2,312,13.5,40,824,355.6807131
2021/10/3 16:45:00.000,4.3,312,12.9,43,825,101.6948339
2021/10/3 17:00:00.000,4.5,314,12.4,45,825,241.1401787
2021/10/3 17:15:00.000,4.6,316,11.7,46,825,220.0689331
2021/10/3 17:30:00.000,4.8,318,11,46,825,151.8337769
2021/10/3 17:45:00.000,5,319,10.2,47,826,87.79957659
2021/10/3 18:00:00.000,5.3,321,9.5,47,826,1159.133333
2021/10/3 18:15:00.000,5.4,322,9,47,826,1847.286364
2021/10/3 18:30:00.000,5.6,325,8.7,47,826,2509.380303
2021/10/3 18:45:00.000,5.9,327,8.4,47,827,3171.474242
2021/10/3 19:00:00.000,6.1,329,8.1,47,827,3833.568182
2021/10/3 19:15:00.000,6.1,330,7.9,47,827,4257.269697
2021/10/3 19:30:00.000,6.2,331,7.6,48,827,4443.543939
2021/10/3 19:45:00.000,6.2,331,7.3,48,827,4628.85303
2021/10/3 20:00:00.000,6.2,332,7,49,827,4815.127273
2021/10/3 20:15:00.000,6.2,332,6.8,49,827,5004.29697
2021/10/3 20:30:00.000,6.3,333,6.6,50,827,5198.292424
2021/10/3 20:45:00.000,6.2,334,6.3,50,828,5392.287879
2021/10/3 21:00:00.000,6.3,335,6.1,51,828,5586.283333
2021/10/3 21:15:00.000,6.2,336,5.9,52,828,5571.806061
2021/10/3 21:30:00.000,6.1,339,5.6,53,828,5350.786364
2021/10/3 21:45:00.000,6,342,5.3,54,829,5129.766667
2021/10/3 22:00:00.000,5.9,344,5,55,829,4908.74697
2021/10/3 22:15:00.000,5.9,346,4.8,55,829,4766.869697
2021/10/3 22:30:00.000,5.9,346,4.6,56,829,4704.134848
2021/10/3 22:45:00.000,5.8,346,4.4,57,829,4641.4
2021/10/3 23:00:00.000,5.8,346,4.2,58,829,4578.665152
2021/10/3 23:15:00.000,5.9,345,4.1,58,829,4688.692424
2021/10/3 23:30:00.000,6,345,4,59,829,4969.551515
2021/10/3 23:45:00.000,6.1,344,3.9,59,830,5251.375758
2021/10/4 0:00:00.000,5.9,346,3.2,64,830,6194.328788
2021/10/4 0:15:00.000,5.9,346,3,65,830,5946.284848
2021/10/4 0:30:00.000,5.7,347,2.9,66,830,5750.359091
2021/10/4 0:45:00.000,5.7,348,2.8,67,830,5554.433333
2021/10/4 1:00:00.000,5.6,349,2.7,68,830,5358.507576
2021/10/4 1:15:00.000,5.7,350,2.5,69,830,5401.939394
2021/10/4 1:30:00.000,5.8,352,2.4,70,830,5684.728788
2021/10/4 1:45:00.000,5.8,353,2.3,71,831,5968.483333
2021/10/4 2:00:00.000,5.9,355,2.2,72,831,6251.272727
2021/10/4 2:15:00.000,5.9,356,2,73,831,6398.940909
2021/10/4 2:30:00.000,5.8,357,1.9,74,831,6410.522727
2021/10/4 2:45:00.000,5.8,358,1.8,75,831,6423.069697
2021/10/4 3:00:00.000,5.7,359,1.7,76,831,6434.651515
2021/10/4 3:15:00.000,5.6,0,1.6,76,831,6432.721212
2021/10/4 3:30:00.000,5.5,1,1.5,77,831,6416.313636
2021/10/4 3:45:00.000,5.3,4,1.4,78,831,6400.871212
2021/10/4 4:00:00.000,5.2,7,1.3,79,831,6384.463636
2021/10/4 4:15:00.000,5.1,9,1.2,79,831,6338.136364
2021/10/4 4:30:00.000,4.9,12,1.1,79,831,6259.959091
2021/10/4 4:45:00.000,4.8,15,1,80,832,6181.781818
2021/10/4 5:00:00.000,4.6,18,0.9,80,832,6103.604545
2021/10/4 5:15:00.000,4.6,20,0.8,80,832,5987.786364
2021/10/4 5:30:00.000,4.7,21,0.7,80,832,5835.292424
2021/10/4 5:45:00.000,4.8,22,0.6,81,832,5681.833333
2021/10/4 6:00:00.000,4.9,23,0.5,81,832,5529.339394
2021/10/4 6:15:00.000,5,22,0.5,81,832,5472.395455
2021/10/4 6:30:00.000,5.1,22,0.8,80,832,5510.036364
2021/10/4 6:45:00.000,5.3,21,1.1,79,833,5547.677273
2021/10/4 7:00:00.000,5.3,21,1.4,78,833,5585.318182
2021/10/4 7:15:00.000,5.3,21,1.7,77,833,4730.193939
2021/10/4 7:30:00.000,5.2,22,2.1,75,833,2980.374242
2021/10/4 7:45:00.000,4.8,22,2.6,72,834,1230.554545
2021/10/4 8:00:00.000,4.7,23,3,70,834,246.4053023
2021/10/4 8:15:00.000,4.6,24,3.4,68,834,124.125355
2021/10/4 8:30:00.000,4.7,27,3.7,66,834,61.72807585
2021/10/4 8:45:00.000,4.9,28,4,65,834,382.4018288
2021/10/4 9:00:00.000,5,30,4.3,63,834,106.7335141
2021/10/4 9:15:00.000,5.1,32,4.6,61,834,326.1108697
2021/10/4 9:30:00.000,5.2,32,4.9,60,834,141.44736
2021/10/4 9:45:00.000,5.4,33,5.2,58,834,15.64019094
2021/10/4 10:00:00.000,5.5,33,5.5,57,834,366.6087806
2021/10/4 10:15:00.000,5.4,34,5.8,56,834,204.4242212
2021/10/4 10:30:00.000,5.3,36,6,55,834,336.8380052
2021/10/4 10:45:00.000,5.3,37,6.2,54,834,246.0664254
2021/10/4 11:00:00.000,5.2,40,6.4,53,834,321.2451491
2021/10/4 11:15:00.000,5.1,40,6.6,52,834,86.53121734
2021/10/4 11:30:00.000,5.1,40,6.9,51,834,80.00144556
2021/10/4 11:45:00.000,5.1,40,7.1,50,834,268.4319844
2021/10/4 12:00:00.000,5.1,40,7.4,49,834,52.32691328
2021/10/4 12:15:00.000,5.1,40,7.6,48,834,302.557662
2021/10/4 12:30:00.000,5,39,7.7,48,834,20.76601557
2021/10/4 12:45:00.000,5,40,7.8,47,834,191.4066944
2021/10/4 13:00:00.000,4.9,39,7.9,47,834,14.21658303
2021/10/4 13:15:00.000,4.8,38,7.9,47,834,324.2305604
2021/10/4 13:30:00.000,4.8,36,7.8,47,834,169.7003272
2021/10/4 13:45:00.000,4.8,34,7.8,48,834,15.0911378
2021/10/4 14:00:00.000,4.8,31,7.7,48,834,213.1334523
2021/10/4 14:15:00.000,4.8,30,7.7,48,834,190.4279318
2021/10/4 14:30:00.000,4.8,29,7.6,48,834,185.2506988
2021/10/4 14:45:00.000,4.8,29,7.5,49,834,398.8989238
2021/10/4 15:00:00.000,4.8,27,7.4,49,834,110.2978953
2021/10/4 15:15:00.000,4.7,28,7.2,49,834,9.650036522
2021/10/4 15:30:00.000,4.7,28,7.1,50,834,84.14029802
2021/10/4 15:45:00.000,4.5,31,6.9,50,834,50.09234524
2021/10/4 16:00:00.000,4.4,31,6.8,51,834,378.1032628
2021/10/4 16:15:00.000,4.4,31,6.6,51,834,696.7515152
2021/10/4 16:30:00.000,4.6,30,6.4,52,834,1160.499394
2021/10/4 16:45:00.000,4.7,29,6.1,52,835,1625.197576
2021/10/4 17:00:00.000,4.9,28,5.9,53,835,2088.945455
2021/10/4 17:15:00.000,5,29,5.7,53,835,2510.88
2021/10/4 17:30:00.000,5.1,30,5.5,53,835,2890.050909
2021/10/4 17:45:00.000,5.1,32,5.4,54,835,3269.221818
2021/10/4 18:00:00.000,5.1,33,5.2,54,835,3648.392727
2021/10/4 18:15:00.000,5.2,36,5.1,55,835,3894.521212
2021/10/4 18:30:00.000,5.1,37,5,56,835,4007.607273
2021/10/4 18:45:00.000,5.1,39,4.9,57,836,4120.693333
2021/10/4 19:00:00.000,5.1,40,4.8,58,836,4233.779394
2021/10/4 19:15:00.000,5,43,4.6,59,836,4249.934545
2021/10/4 19:30:00.000,5,43,4.5,60,836,4167.258182
2021/10/4 19:45:00.000,4.8,45,4.4,61,836,4084.581818
2021/10/4 20:00:00.000,4.7,46,4.3,62,836,4001.905455
2021/10/4 20:15:00.000,4.7,48,4.2,64,836,4097.886061
2021/10/4 20:30:00.000,4.8,49,4.1,65,836,4374.424242
2021/10/4 20:45:00.000,4.8,51,4,66,836,4650.962424
2021/10/4 21:00:00.000,4.8,53,3.9,67,836,4927.500606
2021/10/4 21:15:00.000,4.8,52,3.7,68,836,5169.827879
2021/10/4 21:30:00.000,4.9,51,3.4,70,836,5377.944242
2021/10/4 21:45:00.000,5,51,3.1,71,836,5586.060606
2021/10/4 22:00:00.000,5.1,50,2.8,73,836,5794.17697
2021/10/4 22:15:00.000,5.2,49,2.6,75,836,5993.740606
2021/10/4 22:30:00.000,5.2,48,2.4,76,836,6184.751515
2021/10/4 22:45:00.000,5.4,47,2.3,77,836,6376.712727
2021/10/4 23:00:00.000,5.4,46,2.1,78,836,6567.723636
2021/10/4 23:15:00.000,5.6,44,2,78,836,6704.567273
2021/10/4 23:30:00.000,5.7,44,1.9,78,836,6785.34303
2021/10/4 23:45:00.000,5.7,42,1.9,79,836,6867.069091
2021/10/5 0:00:00.000,4.7,47,4.1,64,836,1245.7
2021/10/5 0:15:00.000,4.7,47,4.1,64,836,1050.68
2021/10/5 0:30:00.000,4.7,45,4,65,836,797.84
2021/10/5 0:45:00.000,4.6,44,3.9,66,836,545
2021/10/5 1:00:00.000,4.6,42,3.8,67,836,355.149788
2021/10/5 1:15:00.000,4.5,41,3.7,67,836,382.9154262
2021/10/5 1:30:00.000,4.5,40,3.6,68,836,323.4823719
2021/10/5 1:45:00.000,4.5,39,3.6,68,836,214.9455297
2021/10/5 2:00:00.000,4.4,38,3.5,69,836,360.4218455
2021/10/5 2:15:00.000,4.4,37,3.5,69,836,35.7473375
2021/10/5 2:30:00.000,4.4,37,3.4,69,836,201.1203449
2021/10/5 2:45:00.000,4.3,36,3.4,68,836,359.1553066
2021/10/5 3:00:00.000,4.3,36,3.3,68,836,183.0619666
2021/10/5 3:15:00.000,4.4,35,3.2,68,836,286.3942255
2021/10/5 3:30:00.000,4.5,34,3.1,68,836,83.19576826
2021/10/5 3:45:00.000,4.5,33,2.9,68,836,130.132045
2021/10/5 4:00:00.000,4.6,33,2.8,68,836,72.25649234
2021/10/5 4:15:00.000,4.6,33,2.6,68,836,287.2320115
2021/10/5 4:30:00.000,4.7,31,2.3,69,836,99.13518309
2021/10/5 4:45:00.000,4.8,30,2.1,69,836,243.6590544
2021/10/5 5:00:00.000,4.8,29,1.8,70,836,226.5972918
2021/10/5 5:15:00.000,4.8,29,1.7,70,836,216.0936194
2021/10/5 5:30:00.000,4.7,28,1.6,70,836,190.8927371
2021/10/5 5:45:00.000,4.6,27,1.5,70,836,310.6628392
2021/10/5 6:00:00.000,4.5,27,1.4,70,836,43.26934661
2021/10/5 6:15:00.000,4.5,27,1.4,70,836,185.879603
2021/10/5 6:30:00.000,4.4,25,1.6,70,836,296.0625854
2021/10/5 6:45:00.000,4.3,26,1.8,69,836,172.5146079
2021/10/5 7:00:00.000,4.3,25,2,69,836,47.42391998
2021/10/5 7:15:00.000,4.2,25,2.3,68,836,384.9053634
2021/10/5 7:30:00.000,4.1,26,2.7,66,836,375.9665359
2021/10/5 7:45:00.000,3.9,27,3.1,64,837,331.3839335
2021/10/5 8:00:00.000,3.8,28,3.5,62,837,211.3098503
2021/10/5 8:15:00.000,3.9,31,3.9,60,837,346.3981601
2021/10/5 8:30:00.000,4,35,4.3,59,837,187.9163073
2021/10/5 8:45:00.000,4.2,38,4.7,57,837,141.8876794
2021/10/5 9:00:00.000,4.4,41,5.1,56,837,241.5202884
2021/10/5 9:15:00.000,4.6,44,5.5,55,837,205.9985112
2021/10/5 9:30:00.000,4.7,45,5.8,54,837,193.197371
2021/10/5 9:45:00.000,4.7,47,6.1,54,838,32.78151587
2021/10/5 10:00:00.000,4.7,48,6.4,53,838,13.62287207
2021/10/5 10:15:00.000,4.7,48,6.6,53,838,319.6870123
2021/10/5 10:30:00.000,4.5,50,6.9,52,838,86.79404383
2021/10/5 10:45:00.000,4.3,50,7.1,52,838,85.07011583
2021/10/5 11:00:00.000,4.1,51,7.4,51,838,178.4758432
2021/10/5 11:15:00.000,3.9,52,7.6,51,838,253.248977
2021/10/5 11:30:00.000,3.9,53,7.7,51,838,327.4731291
2021/10/5 11:45:00.000,3.7,55,7.9,50,838,117.6659086
2021/10/5 12:00:00.000,3.6,56,8,50,838,193.6934963
2021/10/5 12:15:00.000,3.6,58,8.2,50,838,58.2058295
2021/10/5 12:30:00.000,3.4,58,8.3,50,838,285.5660693
2021/10/5 12:45:00.000,3.3,57,8.4,50,837,87.60548528
2021/10/5 13:00:00.000,3.2,58,8.5,50,837,279.0087935
2021/10/5 13:15:00.000,3.1,57,8.6,50,837,374.0833304
2021/10/5 13:30:00.000,3.1,54,8.6,50,837,146.6372658
2021/10/5 13:45:00.000,3.1,52,8.7,50,837,234.8363046
2021/10/5 14:00:00.000,3,49,8.7,50,837,207.6916905
2021/10/5 14:15:00.000,3.1,48,8.7,50,837,270.953412
2021/10/5 14:30:00.000,3.3,46,8.6,50,837,240.1988107
2021/10/5 14:45:00.000,3.4,45,8.5,51,836,71.71556436
2021/10/5 15:00:00.000,3.6,44,8.4,51,836,135.7165614
2021/10/5 15:15:00.000,3.7,45,8.2,51,836,97.37763069
2021/10/5 15:30:00.000,3.7,47,8,52,836,107.7295493
2021/10/5 15:45:00.000,3.7,49,7.9,52,836,370.6167855
2021/10/5 16:00:00.000,3.7,52,7.7,53,836,108.0323896
2021/10/5 16:15:00.000,3.7,55,7.5,54,836,39.19665082
2021/10/5 16:30:00.000,3.7,59,7.2,55,836,287.4791304
2021/10/5 16:45:00.000,3.8,63,6.9,57,837,167.4186005
2021/10/5 17:00:00.000,3.9,67,6.6,58,837,315.0744913
2021/10/5 17:15:00.000,4,70,6.3,60,837,252.0517282
2021/10/5 17:30:00.000,4.1,70,6,61,837,98.8852227
2021/10/5 17:45:00.000,4.2,71,5.6,62,837,182.1543644
2021/10/5 18:00:00.000,4.3,71,5.3,63,837,982.08
2021/10/5 18:15:00.000,4.4,72,5,63,837,1429.94
2021/10/5 18:30:00.000,4.4,72,4.8,64,837,1705.32
2021/10/5 18:45:00.000,4.5,72,4.6,65,837,1981.68
2021/10/5 19:00:00.000,4.5,72,4.4,66,837,2257.06
2021/10/5 19:15:00.000,4.6,71,4.3,66,837,2475.6
2021/10/5 19:30:00.000,4.6,70,4.2,66,837,2635.34
2021/10/5 19:45:00.000,4.6,68,4.1,67,837,2795.08
2021/10/5 20:00:00.000,4.7,67,4,67,837,2954.82
2021/10/5 20:15:00.000,4.7,66,3.8,67,837,2799
2021/10/5 20:30:00.000,4.6,66,3.6,68,837,2329.58
2021/10/5 20:45:00.000,4.6,64,3.4,69,837,1859.18
2021/10/5 21:00:00.000,4.5,63,3.2,70,837,1389.76
2021/10/5 21:15:00.000,4.4,63,3,70,837,986.98
2021/10/5 21:30:00.000,4.3,62,2.9,71,837,650.84
2021/10/5 21:45:00.000,4.3,62,2.7,71,837,238.5667597
2021/10/5 22:00:00.000,4.2,62,2.6,72,837,261.0903399
2021/10/5 22:15:00.000,4.2,63,2.5,72,837,296.9048214
2021/10/5 22:30:00.000,4.3,65,2.5,71,837,116.7297191
2021/10/5 22:45:00.000,4.3,68,2.6,71,837,135.6984909
2021/10/5 23:00:00.000,4.4,70,2.6,70,837,256.9997709
2021/10/5 23:15:00.000,4.3,72,2.6,70,837,144.1582513
2021/10/5 23:30:00.000,4.3,74,2.6,70,837,311.3695526
2021/10/5 23:45:00.000,4.1,75,2.5,71,836,292.9201199
2021/10/6 0:00:00.000,4.1,76,3.3,65,837,256.0848586
2021/10/6 0:15:00.000,4.2,76,3.2,66,837,298.7943075
2021/10/6 0:30:00.000,4.1,77,3.1,67,837,52.57603348
2021/10/6 0:45:00.000,4,77,2.9,68,836,372.0889354
2021/10/6 1:00:00.000,3.9,78,2.8,69,836,35.28391282
2021/10/6 1:15:00.000,3.9,77,2.7,70,836,298.2299647
2021/10/6 1:30:00.000,3.8,75,2.6,71,836,162.7847535
2021/10/6 1:45:00.000,3.8,72,2.5,71,836,6.661063864
2021/10/6 2:00:00.000,3.7,70,2.4,72,836,148.0662438
2021/10/6 2:15:00.000,3.9,69,2.3,72,836,523.0984848
2021/10/6 2:30:00.000,4,70,2.4,71,836,1291.359091
2021/10/6 2:45:00.000,4.1,72,2.4,70,836,2058.654545
2021/10/6 3:00:00.000,4.3,72,2.5,69,836,2826.915152
2021/10/6 3:15:00.000,4.4,73,2.5,69,836,3499.625758
2021/10/6 3:30:00.000,4.5,74,2.5,68,836,4076.786364
2021/10/6 3:45:00.000,4.6,75,2.4,68,835,4653.94697
2021/10/6 4:00:00.000,4.6,76,2.4,67,835,5231.107576
2021/10/6 4:15:00.000,4.5,76,2.4,67,835,5630.680303
